,,,
File,Raw,DataFile,
Time,Major,Minor1,
86,93,69,
86,92,72,
86,92,71,
86,93,70,
85,92,69,
86,92,71,
86,94,70,
86,93,71,
86,93,71,
86,93,72,
86,95,73,
86,95,73,
86,93,71,
86,91,67,
85,90,69,
86,90,67,
86,91,67,
86,92,69,
86,92,70,
86,92,69,
86,92,68,
86,92,69,
86,91,68,
86,92,70,
86,91,69,
86,92,69,
86,94,72,
86,94,72,
86,95,72,
86,94,73,
86,93,73,
85,92,69,
86,91,69,
86,90,66,
86,92,68,
86,92,70,
86,93,69,
86,92,71,
86,93,70,
86,93,70,
85,94,70,
86,93,70,
86,93,71,
86,93,69,
86,94,70,
86,94,73,
86,94,72,
86,94,71,
86,93,71,
85,93,68,
86,91,67,
86,91,67,
86,91,67,
86,92,69,
86,92,68,
85,90,69,
86,91,68,
86,92,69,
86,93,70,
86,93,71,
86,93,70,
85,93,71,
86,94,72,
86,94,74,
86,95,74,
86,96,74,
86,94,71,
86,92,69,
85,91,68,
86,91,68,
86,90,67,
86,90,68,
86,91,68,
86,92,69,
85,92,70,
86,93,69,
86,92,69,
86,92,70,
86,92,70,
86,92,69,
85,93,71,
86,97,74,
86,119,101,
87,113,93,
86,105,83,
86,100,77,
85,96,74,
86,93,72,
86,92,68,
86,93,69,
86,93,71,
86,93,71,
85,93,71,
86,94,72,
86,92,70,
86,91,68,
86,83,61,
85,84,60,
86,87,63,
86,87,65,
85,90,67,
86,92,70,
86,92,70,
86,91,69,
86,90,67,
86,91,68,
85,90,68,
86,90,67,
86,91,68,
86,91,68,
86,91,68,
85,93,71,
86,91,69,
86,92,70,
86,93,70,
86,92,70,
85,93,71,
86,94,72,
86,95,72,
86,95,73,
86,93,70,
85,93,70,
86,91,68,
86,91,68,
86,90,67,
85,91,68,
86,92,70,
86,91,69,
85,93,70,
86,92,68,
86,91,68,
86,92,68,
85,91,68,
86,92,69,
86,92,67,
86,93,70,
85,93,70,
86,95,73,
86,94,72,
86,93,69,
85,92,68,
86,90,68,
86,90,68,
85,91,69,
86,93,70,
86,91,68,
86,93,69,
85,92,70,
86,92,69,
86,92,70,
86,93,70,
85,93,70,
86,91,68,
86,94,71,
86,94,71,
86,94,73,
85,95,72,
86,93,71,
86,90,67,
86,91,67,
85,90,68,
86,90,69,
86,91,68,
85,91,70,
86,92,69,
86,91,69,
86,92,70,
85,93,70,
86,106,88,
86,107,87,
86,99,77,
86,98,77,
86,96,75,
85,95,72,
86,90,67,
86,86,60,
85,85,61,
86,88,66,
85,88,65,
86,90,67,
96,103,79,
1045,1164,895,
3454,3859,2958,
5238,5855,4428,
6204,6936,5180,
6675,7466,5534,
6894,7716,5693,
6995,7831,5760,
7040,7880,5787,
7186,8047,5908,
8187,9161,6759,
9507,10635,7873,
10471,11713,8663,
11036,12349,9105,
11337,12682,9335,
11485,12850,9445,
11556,12931,9491,
11586,12964,9510,
11599,12980,9521,
11603,12986,9527,
11604,12990,9526,
11602,12988,9524,
11602,12986,9526,
11601,12983,9522,
11598,12983,9520,
11597,12977,9523,
11595,12975,9525,
11593,12978,9518,
11592,12979,9520,
11591,12978,9520,
11590,12978,9522,
11589,12977,9515,
11588,12973,9510,
11587,12970,9510,
11586,12967,9509,
11585,12967,9508,
11585,12966,9509,
11585,12968,9513,
11584,12966,9512,
11582,12967,9513,
11581,12968,9510,
11581,12965,9508,
11581,12964,9508,
11580,12962,9506,
11579,12964,9508,
11579,12959,9509,
11577,12961,9508,
11578,12964,9503,
11577,12967,9504,
11578,12962,9505,
11577,12960,9501,
11577,12958,9499,
11577,12958,9507,
11576,12961,9507,
11577,12961,9505,
11578,12958,9501,
11577,12957,9503,
11576,12954,9501,
11575,12957,9499,
11575,12956,9504,
11574,12956,9506,
11575,12956,9506,
11576,12955,9503,
11575,12956,9501,
11575,12961,9505,
11575,12957,9504,
11573,12961,9504,
11572,12958,9504,
11571,12956,9499,
11570,12950,9502,
11571,12951,9502,
11572,12953,9494,
11572,12958,9500,
11572,12957,9502,
11572,12953,9498,
11570,12953,9499,
11572,12955,9501,
11571,12956,9497,
11571,12954,9500,
11573,12955,9501,
11572,12958,9504,
11571,12957,9501,
11571,12958,9502,
11572,12953,9502,
11570,12951,9504,
11569,12953,9504,
11570,12952,9505,
11569,12950,9499,
11570,12950,9494,
11570,12951,9492,
11572,12953,9496,
11571,12953,9497,
11572,12956,9501,
11571,12957,9504,
11572,12958,9504,
11572,12957,9501,
11571,12957,9501,
11571,12956,9501,
11572,12957,9506,
11572,12956,9505,
11573,12956,9507,
11572,12956,9504,
11572,12955,9507,
11573,12960,9508,
11574,12959,9507,
11574,12958,9503,
11574,12957,9495,
11574,12955,9494,
11568,12947,9487,
11572,12951,9496,
11572,12953,9498,
11573,12953,9501,
11573,12956,9499,
11573,12955,9503,
11574,12957,9504,
11574,12959,9501,
11575,12957,9500,
11574,12957,9500,
11574,12959,9502,
11573,12962,9502,
11574,12963,9505,
11573,12960,9508,
11573,12958,9504,
11574,12956,9502,
11573,12957,9499,
11574,12957,9498,
11575,12956,9501,
11573,12958,9503,
11574,12957,9502,
11575,12958,9501,
11575,12954,9501,
11574,12954,9497,
11573,12956,9497,
11575,12960,9497,
11575,12956,9500,
11576,12958,9503,
11576,12961,9508,
11576,12961,9506,
11575,12968,9502,
11574,12967,9499,
11575,12964,9503,
11575,12960,9503,
11574,12959,9500,
11576,12959,9500,
11574,12955,9497,
11576,12957,9503,
11577,12964,9504,
11578,12963,9502,
11578,12959,9505,
11576,12958,9505,
11577,12958,9506,
11577,12959,9503,
11577,12959,9500,
11578,12957,9505,
11577,12962,9505,
11577,12963,9507,
11577,12966,9506,
11578,12965,9504,
11577,12964,9503,
11578,12963,9504,
11578,12965,9508,
11579,12964,9505,
11579,12965,9509,
11579,12962,9512,
11580,12962,9510,
11580,12966,9509,
11580,12966,9508,
11580,12964,9504,
11580,12962,9507,
11580,12963,9511,
11580,12964,9511,
11582,12965,9511,
11582,12968,9511,
11582,12968,9513,
11583,12969,9514,
11582,12971,9515,
11582,12973,9508,
11583,12968,9510,
11583,12967,9510,
11583,12966,9512,
11584,12965,9511,
11583,12964,9513,
11584,12965,9513,
11585,12968,9513,
11585,12972,9510,
11585,12972,9510,
11587,12971,9515,
11586,12974,9514,
11586,12973,9514,
11587,12971,9515,
11587,12976,9515,
11588,12976,9519,
11589,12974,9520,
11589,12976,9518,
11589,12974,9516,
11590,12973,9514,
11590,12972,9515,
