,,,
File,Raw,DataFile,
Time,Major,Minor1,
88,99,78,
88,98,75,
88,97,74,
88,96,71,
87,93,70,
88,91,70,
88,94,71,
88,94,71,
88,95,73,
88,96,74,
88,98,75,
88,97,73,
87,95,72,
88,95,73,
88,98,75,
88,96,74,
88,97,74,
88,97,75,
88,99,78,
88,96,74,
88,96,72,
87,94,72,
88,94,72,
88,93,70,
88,93,72,
88,94,71,
88,94,73,
88,94,72,
88,95,73,
87,96,73,
88,95,73,
88,94,73,
88,96,74,
88,96,73,
88,96,75,
88,97,75,
87,99,78,
88,97,76,
88,95,75,
88,95,73,
88,95,74,
88,94,72,
87,94,73,
88,96,74,
88,96,73,
88,95,73,
88,95,74,
88,95,74,
87,96,74,
88,94,74,
88,95,73,
88,96,74,
88,97,75,
88,97,75,
88,98,76,
87,98,75,
88,96,74,
88,94,71,
88,93,71,
88,93,72,
87,94,72,
88,94,71,
88,95,73,
88,94,74,
88,95,74,
88,95,74,
88,95,73,
87,94,72,
88,96,73,
88,97,73,
88,97,75,
88,97,76,
87,96,75,
88,97,76,
88,96,74,
88,94,72,
88,95,73,
87,94,72,
88,93,71,
88,94,72,
88,96,74,
87,97,74,
88,96,72,
88,95,72,
88,96,74,
88,95,75,
87,94,71,
88,95,72,
88,96,75,
88,97,76,
88,98,76,
87,98,76,
88,98,76,
88,95,72,
88,93,71,
87,92,69,
88,93,71,
88,95,74,
87,94,73,
88,95,73,
88,97,75,
88,95,74,
87,95,73,
88,95,71,
88,95,74,
88,97,74,
87,97,75,
88,98,77,
88,97,79,
88,98,76,
88,96,75,
88,95,73,
87,96,72,
88,94,70,
88,94,70,
87,94,72,
88,96,73,
88,94,73,
87,95,73,
88,95,71,
88,95,72,
88,94,72,
87,95,72,
88,97,74,
88,96,75,
87,97,74,
88,96,74,
88,99,77,
88,98,76,
88,95,72,
87,95,72,
88,95,72,
88,95,72,
87,96,73,
88,94,73,
88,94,73,
88,94,72,
87,95,72,
88,95,73,
88,95,74,
87,95,72,
88,95,73,
88,96,74,
88,98,76,
87,96,75,
88,98,76,
88,97,74,
88,95,72,
87,94,72,
88,95,72,
88,94,73,
87,95,73,
88,95,73,
88,95,74,
87,95,73,
88,95,74,
88,94,73,
87,96,73,
88,94,72,
88,94,72,
88,94,73,
87,97,74,
88,97,75,
88,99,78,
87,98,76,
88,95,74,
88,95,72,
87,94,71,
88,93,69,
87,94,72,
88,95,73,
88,95,72,
87,94,72,
88,95,72,
87,95,73,
88,95,72,
88,94,72,
87,94,73,
88,94,71,
88,96,74,
87,96,76,
88,98,77,
88,98,77,
87,97,74,
88,96,73,
88,96,74,
87,93,71,
88,95,73,
88,94,73,
87,93,73,
88,92,71,
87,94,72,
88,96,72,
88,95,74,
87,94,71,
88,95,73,
87,95,73,
88,96,73,
88,96,75,
87,99,78,
88,98,77,
88,96,73,
87,94,71,
88,93,73,
87,93,71,
88,95,72,
87,94,72,
88,95,73,
88,95,73,
87,96,73,
88,95,73,
87,95,74,
88,95,75,
87,95,73,
88,94,72,
88,96,73,
87,97,75,
88,96,75,
87,97,74,
88,96,74,
87,94,72,
88,96,71,
87,92,68,
88,93,72,
87,95,74,
88,96,75,
88,95,73,
87,96,73,
88,96,74,
87,95,74,
88,95,74,
88,96,74,
87,97,73,
88,97,74,
87,97,77,
88,98,76,
88,100,77,
497,557,426,
4233,4737,3641,
8531,9552,7264,
11141,12475,9363,
12480,13979,10388,
13122,14704,10853,
13418,15037,11059,
13551,15186,11146,
13689,15342,11250,
15134,16952,12474,
17697,19814,14641,
19754,22121,16343,
21007,23533,17334,
21677,24286,17847,
22006,24658,18097,
22151,24827,18202,
22210,24896,18235,
22226,24917,18247,
22222,24910,18240,
22209,24895,18227,
22191,24875,18206,
22171,24847,18192,
22155,24829,18179,
22138,24813,18169,
22120,24797,18159,
22107,24781,18144,
22089,24762,18127,
22072,24740,18118,
22055,24721,18106,
22039,24705,18086,
22025,24689,18080,
22010,24674,18062,
21994,24658,18052,
21984,24646,18054,
21991,24652,18059,
21989,24654,18056,
21981,24642,18047,
21974,24630,18032,
21965,24619,18026,
21952,24606,18010,
21942,24591,18005,
21931,24577,18001,
21916,24566,17987,
21904,24551,17974,
21892,24539,17975,
21880,24527,17966,
21865,24512,17952,
21851,24494,17937,
21832,24474,17922,
21801,24436,17900,
21780,24410,17882,
21764,24394,17868,
21751,24381,17859,
21740,24372,17856,
21729,24361,17844,
21719,24345,17830,
21709,24333,17818,
21701,24326,17814,
21693,24317,17805,
21684,24308,17793,
21677,24300,17794,
21670,24292,17789,
21665,24283,17783,
21658,24278,17777,
21649,24269,17771,
21642,24261,17762,
21638,24252,17759,
21628,24238,17751,
21623,24235,17751,
21616,24234,17751,
21610,24223,17739,
21605,24215,17740,
21599,24207,17734,
21592,24200,17732,
21588,24195,17724,
21584,24194,17717,
21580,24189,17712,
21575,24184,17707,
21571,24181,17703,
21567,24175,17696,
21565,24169,17691,
21559,24162,17692,
21553,24156,17686,
21550,24152,17682,
21548,24148,17682,
21546,24143,17685,
21545,24143,17689,
21542,24145,17686,
21538,24141,17675,
21538,24145,17678,
21535,24139,17679,
21533,24137,17677,
21533,24131,17674,
21530,24131,17672,
21532,24132,17670,
21534,24132,17668,
21533,24135,17673,
21534,24138,17674,
21534,24138,17673,
21532,24131,17671,
21533,24133,17666,
21535,24136,17670,
21537,24137,17670,
21537,24139,17672,
21536,24141,17669,
21534,24139,17672,
21532,24134,17671,
21533,24133,17674,
21531,24132,17675,
21530,24129,17673,
21529,24127,17662,
21530,24128,17664,
21528,24125,17674,
21530,24128,17672,
21529,24129,17669,
21531,24129,17664,
21531,24129,17660,
21531,24130,17660,
21528,24127,17663,
21529,24126,17667,
21529,24127,17669,
21526,24123,17668,
21525,24126,17665,
21527,24123,17666,
21528,24125,17669,
21527,24128,17667,
21524,24124,17660,
21524,24121,17662,
21525,24118,17663,
21529,24121,17667,
21530,24127,17669,
21533,24131,17675,
21534,24139,17669,
21534,24137,17669,
21535,24136,17663,
21536,24136,17670,
21537,24137,17678,
21537,24134,17677,
21538,24133,17678,
21542,24139,17679,
21542,24141,17677,
21542,24142,17679,
21541,24145,17684,
21541,24147,17683,
21542,24147,17681,
21543,24144,17681,
21544,24139,17676,
21548,24143,17676,
21551,24149,17679,
21555,24156,17681,
21554,24158,17686,
21553,24154,17683,
21553,24156,17688,
21554,24157,17686,
21555,24157,17691,
21557,24156,17691,
21558,24159,17689,
21561,24163,17692,
21560,24166,17693,
21564,24167,17688,
21566,24165,17694,
21566,24168,17692,
21567,24168,17696,
21570,24167,17698,
21572,24167,17697,
21575,24174,17699,
21576,24174,17699,
21576,24179,17703,
21577,24180,17704,
21579,24181,17704,
21583,24186,17706,
21585,24191,17709,
21587,24191,17712,
21591,24196,17716,
21594,24197,17723,
21596,24204,17720,
21598,24202,17719,
21600,24206,17723,
21601,24210,17719,
21600,24207,17722,
21601,24211,17726,
21602,24211,17727,
21604,24211,17728,
21605,24213,17725,
21605,24210,17724,
21609,24207,17728,
21613,24216,17729,
21613,24221,17730,
21614,24220,17734,
21614,24222,17734,
21618,24228,17735,
21619,24226,17731,
21622,24225,17737,
21623,24227,17732,
21624,24229,17741,
21627,24233,17737,
21629,24244,17745,
21629,24246,17747,
21629,24244,17748,
21628,24238,17746,
21627,24235,17745,
21629,24234,17740,
21632,24239,17741,
21635,24244,17740,
21638,24247,17748,
21641,24247,17754,
21640,24250,17752,
21643,24250,17750,
21646,24253,17757,
21648,24256,17762,
21652,24261,17765,
21652,24263,17761,
21651,24261,17760,
21651,24262,17758,
21654,24268,17766,
21657,24272,17769,
21659,24275,17772,
21657,24273,17775,
21658,24275,17768,
21657,24269,17761,
21662,24273,17767,
21663,24274,17768,
21665,24283,17775,
21666,24281,17770,
21666,24278,17769,
21666,24281,17768,
21669,24286,17774,
21671,24284,17775,
21671,24287,17772,
21675,24295,17780,
21676,24298,17781,
21677,24298,17783,
21675,24296,17784,
21676,24297,17785,
21671,24287,17777,
21673,24291,17784,
21678,24292,17779,
21680,24286,17780,
21678,24286,17782,
21682,24290,17782,
21682,24301,17786,
21683,24296,17787,
21686,24303,17791,
21690,24309,17799,
21690,24306,17797,
21691,24305,17787,
21691,24306,17785,
21691,24303,17791,
21694,24307,17797,
21694,24309,17794,
21694,24310,17792,
21692,24309,17795,
21692,24305,17794,
21695,24308,17795,
21693,24311,17796,
21694,24313,17790,
21695,24314,17790,
21696,24315,17790,
21696,24315,17791,
21699,24316,17800,
21697,24309,17799,
21698,24312,17797,
21699,24313,17801,
21701,24319,17805,
21702,24319,17801,
21704,24322,17802,
21703,24322,17800,
21706,24323,17808,
21708,24327,17807,
21710,24332,17807,
21711,24331,17814,
21710,24331,17814,
21711,24334,17808,
21712,24333,17805,
21714,24334,17807,
21716,24336,17815,
21719,24336,17815,
21716,24336,17812,
21718,24335,17809,
21718,24339,17816,
21720,24344,17822,
21724,24348,17824,
21725,24345,17818,
21722,24343,17816,
21727,24351,17820,
21727,24346,17819,
21726,24346,17820,
21726,24351,17826,
21726,24353,17829,
21725,24354,17824,
21726,24348,17822,
21725,24350,17820,
21725,24350,17821,
21726,24350,17827,
21728,24350,17820,
21727,24344,17822,
21729,24351,17816,
21728,24353,17819,
21616,24221,17725,
17752,19911,14419,
10833,12180,8548,
5797,6535,4421,
2928,3310,2162,
1456,1649,1050,
741,842,531,
404,461,295,
248,284,190,
176,202,142,
143,164,119,
126,141,104,
118,133,99,
112,124,92,
110,120,91,
107,119,90,
105,118,88,
104,114,86,
102,113,86,
102,112,87,
100,111,86,
100,110,83,
99,108,84,
99,109,83,
98,108,83,
97,115,91,
98,114,88,
96,111,87,
96,109,86,
96,106,81,
96,106,80,
95,104,79,
95,103,78,
95,102,77,
94,100,75,
95,102,77,
94,102,78,
94,103,80,
94,102,79,
93,103,79,
94,103,79,
93,103,78,
93,102,78,
93,103,80,
93,103,79,
93,105,82,
93,103,81,
92,102,77,
93,102,77,
92,100,76,
92,98,74,
92,100,76,
92,99,76,
92,101,76,
92,99,77,
92,101,77,
92,100,76,
92,100,77,
91,100,76,
92,100,77,
91,99,76,
91,100,78,
92,101,78,
91,102,80,
91,101,79,
91,100,77,
91,99,76,
91,100,75,
91,97,74,
91,98,75,
91,98,76,
90,99,76,
91,98,75,
91,98,74,
91,99,75,
90,99,77,
91,98,76,
90,99,77,
91,100,77,
90,100,78,
91,100,77,
90,99,79,
91,100,78,
90,98,75,
90,97,73,
90,97,73,
91,96,72,
90,97,73,
90,98,76,
90,98,74,
90,96,74,
90,96,73,
90,97,74,
90,97,75,
90,97,74,
89,99,75,
90,98,76,
90,99,77,
90,99,76,
90,101,79,
89,101,79,
90,98,75,
90,96,73,
89,96,73,
90,96,72,
90,96,73,
89,95,74,
90,96,75,
89,97,73,
90,96,75,
89,97,75,
89,96,74,
90,96,73,
89,96,75,
90,98,75,
89,99,78,
89,99,77,
90,100,78,
89,100,76,
90,99,76,
89,96,74,
89,97,74,
89,97,74,
89,96,74,
89,96,73,
90,97,74,
89,97,74,
89,97,74,
89,97,76,
89,97,74,
89,96,74,
89,96,74,
89,95,73,
89,98,76,
90,99,77,
89,101,78,
89,99,77,
89,98,75,
89,96,73,
88,97,75,
89,97,71,
89,97,73,
89,96,74,
89,97,74,
89,96,75,
89,98,76,
89,97,73,
88,98,75,
89,96,73,
89,96,73,
89,97,74,
88,97,75,
89,97,76,
89,97,75,
89,98,77,
88,98,76,
89,95,74,
89,96,74,
88,94,72,
89,94,72,
89,96,74,
88,97,73,
89,97,76,
89,98,74,
88,97,73,
89,96,75,
88,96,74,
89,96,75,
88,96,73,
89,97,74,
88,99,77,
89,99,78,
89,99,77,
88,98,76,
89,97,74,
88,95,74,
89,95,71,
88,95,73,
89,98,77,
88,97,74,
88,96,74,
89,97,74,
88,96,73,
89,96,72,
88,97,74,
88,98,73,
89,96,73,
88,97,75,
88,98,77,
89,97,76,
88,100,77,
89,98,75,
88,96,73,
88,96,73,
89,95,72,
