,,,
File,Raw,DataFile,
Time,Major,Minor1,
87,96,75,
86,96,74,
87,96,76,
87,98,75,
87,94,72,
86,93,72,
87,93,73,
87,92,71,
86,93,72,
87,94,71,
87,95,73,
87,94,72,
86,94,73,
87,96,73,
87,94,70,
86,94,72,
87,95,72,
87,95,71,
87,96,74,
86,96,74,
87,97,76,
87,96,75,
87,96,75,
86,93,71,
87,94,72,
87,92,70,
86,93,71,
87,94,71,
87,93,74,
87,94,72,
86,94,72,
87,94,72,
87,93,73,
87,95,72,
86,95,73,
87,94,72,
87,97,75,
87,95,74,
86,96,74,
87,96,75,
87,95,75,
87,93,71,
86,94,72,
87,93,71,
87,92,71,
86,94,71,
87,93,71,
87,94,72,
87,95,70,
86,94,71,
87,95,73,
87,95,73,
86,95,72,
87,94,71,
87,96,74,
87,97,75,
87,96,73,
86,97,75,
87,95,73,
87,93,71,
87,93,71,
86,92,71,
87,93,70,
87,94,72,
86,92,72,
87,93,73,
87,95,73,
86,95,74,
87,95,74,
87,93,71,
86,94,72,
87,94,73,
87,96,74,
87,96,76,
86,96,76,
87,96,76,
87,95,73,
86,92,72,
87,93,71,
87,92,70,
86,92,70,
87,93,71,
87,93,71,
87,94,72,
86,94,73,
87,93,71,
87,95,74,
87,95,72,
86,94,74,
87,94,73,
87,95,75,
87,96,75,
86,96,75,
87,96,75,
87,96,74,
86,94,74,
87,94,71,
87,94,71,
87,92,69,
86,93,70,
87,95,71,
87,94,71,
86,95,74,
87,94,71,
87,94,72,
87,94,72,
86,94,73,
87,94,72,
87,96,73,
86,96,75,
87,95,74,
87,97,74,
86,96,74,
87,96,72,
87,94,71,
87,93,71,
86,92,69,
87,93,71,
87,93,71,
86,95,72,
87,95,74,
87,95,73,
87,94,74,
86,94,73,
87,94,73,
87,95,72,
86,94,74,
87,95,75,
87,96,74,
87,97,76,
86,97,75,
87,94,73,
87,94,72,
87,92,71,
86,91,69,
87,93,71,
87,93,72,
86,94,73,
87,94,74,
87,93,73,
87,94,72,
86,94,71,
87,94,72,
87,95,72,
86,95,74,
87,97,76,
87,97,75,
87,97,77,
86,96,76,
87,95,74,
87,93,71,
87,94,72,
86,92,69,
87,93,72,
87,95,72,
86,94,72,
87,95,73,
87,94,72,
86,93,71,
87,93,71,
87,94,72,
86,93,72,
87,94,72,
87,96,74,
86,95,74,
87,96,74,
87,96,74,
87,96,73,
90,99,75,
1070,1195,916,
4818,5388,4136,
8032,8988,6809,
9856,11030,8256,
10773,12063,8944,
11213,12560,9259,
11418,12792,9406,
11520,12903,9472,
12191,13653,10035,
14244,15937,11775,
16246,18178,13442,
17571,19664,14511,
18313,20504,15097,
18700,20938,15386,
18887,21150,15527,
18975,21254,15586,
19013,21305,15613,
19028,21320,15620,
19033,21321,15627,
19031,21319,15623,
19031,21322,15626,
