,,,
File,Raw,DataFile,
Time,Major,Minor1,
85,93,73,
85,93,70,
85,92,73,
85,94,72,
85,94,73,
85,94,73,
85,94,73,
85,94,72,
85,91,70,
84,91,69,
86,91,70,
85,91,72,
84,92,72,
85,91,70,
85,93,71,
85,91,71,
85,92,71,
85,91,71,
85,92,70,
85,91,71,
85,92,71,
85,93,71,
85,94,73,
85,95,73,
85,95,72,
85,93,72,
85,91,70,
85,88,66,
85,87,65,
85,88,68,
85,90,69,
85,91,70,
85,90,70,
85,92,71,
85,91,70,
85,92,70,
85,91,71,
85,91,71,
85,92,70,
85,92,72,
85,93,72,
85,94,73,
85,95,74,
85,94,73,
85,93,70,
85,92,71,
85,89,68,
85,89,68,
85,90,70,
85,91,70,
85,91,71,
85,92,70,
85,92,72,
85,92,71,
85,93,72,
85,93,72,
85,93,72,
85,92,71,
85,94,73,
85,93,73,
85,95,74,
85,94,74,
85,92,72,
85,92,69,
85,91,68,
85,90,68,
85,92,71,
85,93,71,
85,91,70,
85,91,70,
85,90,70,
85,91,71,
85,93,71,
85,93,71,
85,91,71,
85,92,72,
85,93,74,
85,94,72,
85,96,76,
85,95,75,
85,93,70,
85,92,70,
85,91,71,
85,91,70,
85,92,71,
85,93,72,
85,92,71,
85,92,70,
85,92,71,
85,92,71,
85,92,69,
85,93,70,
85,93,72,
85,92,73,
85,94,74,
85,93,73,
85,94,74,
85,94,74,
85,92,71,
85,91,69,
85,92,70,
85,90,69,
85,91,70,
84,90,70,
85,92,70,
85,92,71,
86,93,71,
85,93,72,
85,92,73,
85,92,72,
84,92,71,
85,93,71,
85,95,74,
85,93,73,
86,95,73,
85,94,72,
85,93,71,
85,91,69,
85,92,70,
84,91,69,
85,91,70,
85,92,72,
85,91,69,
85,92,70,
86,92,71,
85,93,71,
85,92,72,
85,92,72,
85,93,71,
84,93,72,
85,94,74,
85,95,74,
86,96,75,
85,94,74,
85,93,72,
85,92,71,
85,92,70,
85,91,69,
85,91,70,
85,92,72,
85,91,70,
85,91,71,
85,93,74,
84,91,70,
85,92,70,
85,92,71,
85,93,71,
85,93,71,
85,93,73,
85,94,72,
85,96,72,
85,95,73,
85,93,72,
85,92,71,
85,93,71,
85,90,68,
85,91,69,
85,91,72,
85,92,72,
85,92,71,
85,93,71,
91,99,76,
1436,1605,1237,
5948,6659,5112,
9638,10796,8177,
11703,13113,9811,
12732,14274,10577,
13217,14819,10925,
13437,15067,11074,
13537,15179,11137,
13886,15571,11429,
15902,17815,13141,
18407,20617,15240,
20202,22628,16702,
21245,23805,17527,
21785,24414,17941,
22043,24709,18132,
22155,24839,18204,
22198,24883,18231,
22206,24896,18240,
22199,24889,18230,
22187,24873,18218,
22172,24855,18207,
22156,24842,18196,
22140,24825,18185,
22121,24804,18179,
22104,24787,18158,
22089,24772,18147,
22069,24751,18129,
22053,24723,18104,
22036,24705,18090,
22019,24689,18077,
22002,24667,18068,
21989,24655,18061,
21973,24636,18041,
21960,24620,18025,
21944,24604,18015,
21928,24585,18006,
21915,24566,17996,
21902,24552,17983,
21908,24558,17990,
21907,24561,17994,
21900,24553,17989,
21890,24546,17973,
21876,24535,17963,
21863,24518,17957,
21852,24504,17948,
21840,24488,17933,
21824,24470,17917,
21809,24453,17900,
21795,24432,17886,
21783,24423,17882,
21774,24413,17883,
21761,24397,17872,
21748,24383,17860,
21738,24371,17841,
21724,24357,17832,
21711,24342,17823,
21701,24334,17816,
21689,24319,17808,
21678,24310,17796,
21669,24294,17794,
21657,24280,17783,
21647,24273,17774,
21636,24262,17766,
21623,24246,17753,
21610,24222,17737,
21600,24215,17734,
21589,24202,17728,
21576,24189,17714,
21561,24171,17706,
21545,24151,17692,
21531,24141,17678,
21519,24122,17669,
21503,24110,17651,
21493,24094,17643,
21484,24089,17642,
21472,24077,17633,
21462,24063,17619,
21448,24049,17607,
21434,24031,17598,
21421,24022,17593,
21411,24009,17585,
21405,23998,17578,
21395,23987,17569,
21391,23978,17564,
21388,23976,17560,
21380,23970,17556,
21372,23958,17551,
21369,23952,17545,
21362,23945,17537,
21355,23940,17530,
21347,23935,17524,
21341,23928,17522,
21334,23920,17519,
21329,23912,17514,
21323,23902,17509,
21319,23902,17504,
21310,23892,17494,
21308,23887,17494,
21304,23883,17492,
21300,23881,17495,
21297,23876,17482,
21293,23872,17478,
21288,23866,17470,
21288,23861,17471,
21286,23859,17477,
21282,23853,17474,
21275,23848,17468,
21272,23842,17467,
21268,23838,17462,
21267,23834,17460,
21268,23837,17459,
21263,23834,17453,
21259,23831,17448,
21260,23831,17458,
21261,23836,17458,
21256,23834,17454,
21253,23823,17448,
21251,23813,17444,
21250,23812,17442,
21251,23812,17438,
21254,23814,17439,
21254,23818,17445,
21255,23823,17452,
21256,23824,17444,
21256,23824,17448,
21256,23826,17447,
21257,23824,17450,
21259,23826,17451,
21257,23823,17451,
21256,23825,17445,
21261,23830,17452,
21261,23829,17460,
21260,23832,17453,
21261,23834,17453,
21260,23835,17451,
21260,23835,17450,
21265,23832,17450,
21265,23833,17451,
21267,23834,17447,
21267,23832,17448,
21263,23831,17452,
21264,23829,17450,
21263,23830,17445,
21269,23837,17455,
21270,23840,17460,
21273,23842,17457,
21273,23839,17462,
21269,23834,17455,
21267,23836,17452,
21265,23832,17454,
21269,23836,17452,
21266,23836,17452,
21271,23843,17460,
21268,23835,17461,
21266,23830,17448,
21267,23831,17451,
21268,23833,17450,
21270,23837,17454,
21274,23840,17457,
21273,23842,17455,
21275,23839,17458,
21274,23843,17452,
21275,23842,17456,
21275,23845,17457,
21280,23854,17465,
21282,23851,17464,
21284,23851,17469,
21285,23848,17464,
21285,23852,17467,
21288,23857,17473,
21287,23860,17473,
21287,23857,17467,
21291,23861,17467,
21293,23861,17466,
21295,23858,17472,
21297,23862,17479,
21296,23862,17475,
21298,23866,17475,
21297,23862,17468,
21297,23866,17479,
21300,23871,17480,
21300,23872,17480,
21301,23874,17480,
21306,23881,17481,
21307,23877,17482,
21307,23878,17483,
21306,23878,17485,
21308,23879,17492,
21309,23883,17494,
21312,23887,17487,
21314,23889,17483,
21317,23891,17487,
21317,23890,17490,
21323,23891,17497,
21325,23897,17498,
21323,23894,17498,
21324,23893,17493,
21327,23896,17503,
21328,23901,17502,
21332,23903,17500,
21332,23904,17499,
21334,23904,17502,
21336,23905,17507,
21336,23910,17507,
21339,23911,17510,
21342,23916,17510,
21340,23919,17509,
21341,23914,17504,
21343,23913,17509,
21344,23914,17505,
21346,23918,17502,
21347,23920,17510,
21350,23924,17521,
21352,23924,17516,
21349,23920,17515,
21355,23929,17515,
21359,23931,17518,
21358,23936,17524,
21359,23938,17524,
21360,23940,17525,
21362,23941,17530,
21363,23942,17523,
21361,23940,17524,
21359,23940,17529,
21363,23946,17525,
21363,23944,17520,
21365,23940,17525,
21366,23939,17522,
21370,23943,17532,
21375,23947,17533,
21376,23950,17531,
21379,23952,17539,
21379,23952,17542,
21378,23953,17540,
21381,23961,17537,
21383,23964,17542,
21381,23965,17539,
21382,23960,17541,
21387,23964,17551,
21388,23964,17544,
21388,23970,17547,
21392,23977,17545,
21394,23977,17549,
21394,23975,17551,
21393,23974,17551,
21394,23971,17555,
21398,23977,17552,
21396,23979,17553,
21397,23978,17559,
21398,23982,17561,
21400,23982,17560,
21402,23982,17557,
21407,23989,17558,
21407,23991,17557,
21404,23987,17557,
21404,23986,17563,
21408,23996,17562,
21410,23996,17564,
21409,23995,17561,
21408,23994,17560,
21411,23995,17566,
21412,23997,17565,
21412,23993,17570,
21410,23990,17568,
21411,23996,17574,
21413,23993,17568,
21415,23994,17571,
21418,23999,17577,
21420,23998,17576,
21417,23998,17570,
21420,24001,17568,
