,,,
File,Raw,DataFile,
Time,Major,Minor1,
85,94,72,
85,95,74,
84,95,74,
85,93,70,
84,91,69,
85,90,69,
85,89,67,
84,91,69,
85,91,71,
85,92,69,
84,90,70,
85,91,70,
85,90,70,
84,91,70,
85,91,71,
84,92,71,
85,91,70,
85,93,72,
84,94,74,
85,94,73,
85,95,73,
84,93,71,
85,91,70,
85,92,70,
84,90,68,
85,89,69,
84,91,71,
85,91,71,
85,92,72,
84,92,73,
85,92,71,
84,91,71,
85,93,72,
85,93,72,
84,92,72,
85,92,72,
84,93,71,
85,94,73,
85,95,74,
84,94,73,
85,91,70,
85,91,71,
84,91,68,
85,91,70,
85,93,72,
84,90,69,
85,90,69,
84,92,72,
85,91,70,
85,92,71,
84,92,71,
85,92,71,
85,92,71,
84,92,70,
85,95,74,
84,94,73,
85,95,75,
85,93,71,
84,91,69,
85,91,68,
85,91,69,
84,90,68,
85,91,68,
85,92,69,
84,92,69,
85,92,70,
85,93,71,
84,91,71,
85,92,71,
84,92,71,
85,93,72,
85,92,72,
84,95,74,
85,93,73,
85,95,74,
85,94,74,
84,92,71,
85,92,70,
84,91,69,
85,90,68,
85,91,70,
84,91,70,
85,91,69,
85,91,71,
84,92,72,
85,92,72,
84,92,70,
85,94,71,
85,93,71,
84,92,70,
85,94,72,
85,94,73,
84,95,73,
85,94,72,
84,92,71,
85,89,69,
85,90,69,
84,91,68,
85,92,71,
84,91,70,
85,91,69,
85,92,70,
84,93,71,
85,92,72,
85,91,71,
84,92,71,
85,93,71,
85,93,71,
84,94,73,
85,95,73,
85,96,76,
84,93,73,
85,92,71,
85,91,69,
84,92,69,
85,90,69,
84,91,70,
85,93,71,
85,91,70,
84,92,71,
85,93,71,
84,92,71,
85,92,70,
85,91,71,
84,91,70,
85,90,70,
85,93,72,
84,93,73,
85,95,74,
85,96,75,
84,93,73,
85,92,70,
85,91,71,
84,90,69,
85,91,70,
84,92,71,
85,92,71,
85,91,71,
84,92,72,
85,93,72,
85,92,72,
84,93,71,
85,93,71,
85,91,70,
84,93,72,
85,94,72,
85,95,72,
84,93,72,
85,93,71,
84,89,68,
85,90,70,
85,89,68,
84,90,69,
85,91,70,
84,91,69,
85,91,69,
85,92,69,
84,92,70,
85,92,71,
85,92,71,
84,91,72,
85,92,71,
85,93,73,
84,94,72,
85,94,75,
84,95,73,
85,94,71,
85,91,69,
84,90,68,
85,89,69,
84,91,70,
85,92,71,
85,92,71,
84,92,71,
85,92,70,
85,93,72,
85,93,71,
84,92,72,
85,92,71,
84,93,71,
85,93,72,
85,94,71,
84,95,72,
85,95,74,
85,94,71,
84,92,70,
85,92,72,
84,91,69,
85,89,67,
85,96,76,
84,97,77,
85,94,74,
85,94,73,
84,93,71,
85,93,71,
84,92,71,
85,92,70,
85,92,70,
84,91,69,
85,90,69,
85,92,71,
84,94,74,
85,92,71,
84,91,70,
85,90,70,
85,91,69,
247,272,207,
2971,3327,2560,
6925,7763,5918,
9465,10609,7985,
10794,12102,9010,
11438,12831,9481,
11742,13171,9697,
11883,13331,9794,
11968,13429,9853,
12898,14462,10639,
15101,16921,12510,
17056,19113,14135,
18304,20519,15142,
18991,21295,15671,
19341,21690,15934,
19510,21880,16052,
19589,21970,16105,
19623,22011,16131,
19638,22026,16138,
19644,22036,16145,
19644,22032,16144,
19641,22031,16143,
19638,22031,16147,
19636,22027,16144,
19634,22028,16142,
19632,22018,16139,
19631,22019,16137,
19631,22017,16140,
19629,22017,16137,
19627,22017,16137,
19624,22017,16135,
19623,22013,16132,
19620,22011,16129,
19619,22006,16126,
19617,22004,16123,
19613,22004,16124,
19611,21998,16122,
19610,21994,16119,
19608,21993,16118,
19607,21992,16115,
19606,21992,16113,
19604,21993,16108,
19601,21991,16110,
19601,21990,16104,
19601,21987,16111,
19598,21987,16113,
19598,21984,16112,
19597,21988,16114,
19596,21990,16108,
19593,21981,16114,
19591,21975,16112,
19590,21974,16106,
19588,21975,16094,
19589,21977,16095,
19589,21972,16097,
19589,21970,16104,
19587,21971,16103,
19587,21967,16104,
19587,21966,16100,
19586,21971,16099,
19585,21970,16095,
19585,21970,16097,
19584,21968,16096,
19583,21968,16096,
19581,21967,16092,
19581,21965,16095,
19580,21966,16098,
19581,21967,16101,
19581,21969,16101,
19580,21970,16099,
19580,21968,16097,
19578,21963,16092,
19579,21963,16090,
19579,21962,16094,
19580,21963,16098,
19580,21965,16093,
19580,21962,16090,
19581,21959,16086,
19581,21960,16090,
19579,21963,16088,
19578,21963,16089,
19577,21967,16092,
19578,21962,16091,
19578,21963,16090,
19578,21963,16092,
19578,21962,16095,
19577,21961,16095,
19576,21959,16094,
19577,21956,16086,
19578,21960,16087,
19578,21963,16089,
19579,21962,16090,
19577,21963,16095,
19576,21965,16089,
19576,21966,16087,
19575,21961,16086,
19574,21960,16089,
19574,21961,16087,
19573,21958,16089,
19573,21957,16095,
19573,21955,16092,
19574,21955,16088,
19574,21961,16089,
19573,21961,16090,
19573,21961,16092,
19573,21956,16090,
19572,21954,16079,
19573,21955,16075,
19573,21959,16080,
19573,21957,16087,
19573,21957,16094,
19573,21956,16089,
19574,21957,16088,
19573,21957,16087,
19573,21956,16092,
19572,21952,16088,
19572,21953,16084,
19572,21954,16084,
19573,21955,16089,
19571,21956,16091,
19570,21954,16089,
19569,21953,16086,
19571,21950,16088,
19570,21952,16089,
19571,21954,16085,
19571,21957,16080,
19572,21955,16087,
19572,21952,16084,
19572,21957,16087,
19574,21958,16089,
19574,21961,16084,
19575,21960,16085,
19576,21959,16084,
19576,21960,16083,
19576,21957,16086,
19575,21957,16087,
19574,21960,16092,
19576,21955,16094,
19576,21958,16099,
19576,21956,16096,
19576,21958,16092,
19576,21961,16091,
19575,21958,16094,
19575,21955,16090,
19576,21958,16088,
19577,21959,16088,
19578,21962,16088,
19577,21960,16091,
19577,21958,16088,
19575,21958,16088,
19577,21959,16096,
19577,21956,16093,
19576,21959,16093,
19575,21957,16091,
19575,21957,16089,
19575,21953,16086,
19576,21961,16093,
19577,21965,16094,
19576,21962,16098,
