,,,
File,Raw,DataFile,
Time,Major,Minor1,
95,105,82,
95,105,80,
95,104,80,
95,107,81,
95,107,82,
95,108,84,
95,107,82,
95,105,81,
95,103,78,
95,103,79,
95,102,76,
95,103,78,
95,103,79,
95,104,80,
95,104,78,
95,105,80,
95,104,80,
95,104,79,
94,105,81,
95,104,81,
95,104,80,
95,106,80,
95,106,83,
95,106,82,
95,107,82,
94,106,82,
95,104,79,
95,104,81,
95,102,76,
95,102,77,
94,103,78,
95,102,79,
95,104,79,
95,103,79,
94,103,80,
95,104,80,
95,103,79,
95,104,79,
94,103,78,
95,105,80,
95,106,81,
94,106,81,
95,106,82,
95,105,82,
95,103,79,
94,102,80,
95,102,78,
94,103,78,
95,104,80,
95,103,78,
94,105,80,
95,104,80,
94,104,82,
95,103,82,
95,105,80,
94,104,79,
95,104,79,
94,105,79,
95,105,83,
94,106,82,
95,106,83,
94,105,81,
95,102,79,
94,103,79,
95,102,78,
94,101,78,
95,103,80,
94,103,79,
94,103,79,
95,105,80,
94,104,80,
95,103,79,
94,104,81,
94,104,81,
95,104,79,
94,104,81,
95,106,81,
94,105,80,
95,106,82,
94,106,81,
94,103,78,
95,103,79,
94,101,77,
94,101,77,
94,103,78,
95,101,78,
94,103,79,
94,104,79,
95,102,81,
94,103,80,
94,104,80,
95,104,79,
94,103,80,
94,103,79,
94,106,82,
95,104,81,
94,106,83,
94,105,81,
94,103,79,
94,102,78,
95,101,79,
94,101,77,
94,103,79,
94,102,80,
94,103,79,
94,103,79,
95,103,78,
94,103,79,
94,104,80,
94,103,81,
94,104,80,
94,103,80,
95,106,81,
94,105,81,
94,107,84,
94,105,82,
94,103,79,
94,102,78,
94,102,77,
94,100,76,
94,101,76,
94,102,78,
94,103,78,
94,104,79,
95,104,80,
93,102,78,
94,103,78,
94,103,79,
94,103,78,
95,104,81,
94,106,83,
94,105,82,
94,106,82,
94,105,81,
94,104,80,
93,102,79,
94,102,78,
94,101,76,
94,101,77,
94,102,77,
94,103,79,
94,102,79,
94,104,79,
94,102,76,
94,103,79,
94,102,77,
93,104,80,
94,103,79,
94,104,80,
94,105,81,
94,105,81,
94,106,82,
94,103,81,
93,101,78,
94,102,78,
94,101,77,
94,101,80,
93,103,79,
94,103,79,
94,102,79,
94,102,78,
93,103,80,
94,102,78,
94,103,77,
94,102,77,
93,102,78,
94,103,80,
94,103,80,
94,105,81,
93,106,81,
94,103,81,
94,102,79,
93,102,77,
94,99,77,
94,101,79,
93,102,78,
94,103,79,
94,104,80,
93,104,82,
94,103,81,
93,102,77,
94,102,77,
94,103,80,
93,103,79,
94,103,80,
94,105,81,
93,104,81,
94,105,81,
93,103,79,
94,101,78,
94,102,80,
93,101,76,
94,101,77,
93,102,79,
94,101,78,
93,103,78,
94,102,78,
93,102,79,
94,103,79,
93,102,79,
94,102,79,
93,103,80,
94,104,80,
93,105,81,
94,106,82,
93,105,83,
94,105,81,
93,102,79,
94,102,79,
93,102,77,
93,101,78,
94,103,78,
93,103,78,
94,101,79,
93,101,78,
94,101,78,
93,102,77,
93,102,79,
94,102,79,
93,103,77,
94,102,79,
93,104,80,
93,105,81,
94,105,81,
93,104,80,
94,101,77,
93,100,76,
93,101,76,
93,101,76,
94,101,79,
93,102,78,
93,104,79,
94,104,80,
93,103,78,
93,101,78,
94,102,78,
97,107,82,
1345,1504,1155,
6075,6796,5218,
10071,11275,8550,
12327,13809,10330,
13455,15077,11177,
13985,15672,11556,
14228,15938,11720,
14338,16067,11795,
14634,16396,12033,
16631,18622,13724,
19292,21599,15966,
21237,23776,17555,
22374,25059,18460,
22966,25729,18914,
23256,26059,19123,
23380,26200,19210,
23426,26252,19238,
23436,26268,19247,
23429,26258,19234,
23415,26244,19218,
23397,26228,19206,
23379,26207,19192,
23356,26183,19173,
23338,26160,19158,
23326,26145,19149,
23311,26120,19136,
23305,26117,19129,
23306,26115,19131,
23306,26118,19131,
23298,26111,19125,
23270,26081,19097,
23235,26037,19067,
23210,26009,19052,
23192,25990,19039,
23176,25976,19029,
23164,25962,19020,
23151,25945,19008,
23135,25928,18988,
23120,25913,18982,
23109,25903,18971,
23098,25891,18965,
23087,25881,18953,
23076,25867,18941,
23062,25847,18936,
23051,25834,18921,
23042,25823,18907,
23033,25817,18905,
23022,25808,18901,
23012,25794,18895,
23004,25784,18891,
22996,25773,18883,
22988,25764,18876,
22983,25759,18868,
22974,25750,18861,
22966,25742,18858,
22959,25735,18844,
22953,25732,18839,
22947,25721,18840,
22939,25708,18837,
22932,25704,18832,
22927,25696,18828,
22922,25689,18823,
22916,25684,18816,
22913,25676,18808,
22909,25668,18809,
22905,25667,18808,
22899,25666,18799,
22894,25657,18797,
22890,25653,18791,
22885,25649,18794,
22882,25647,18789,
22881,25645,18791,
