,,,
File,Raw,DataFile,
Time,Major,Minor1,
85,93,74,
84,94,75,
85,93,72,
84,91,70,
85,91,71,
84,89,70,
85,91,70,
84,91,72,
85,92,71,
84,92,71,
85,91,71,
85,92,70,
84,92,70,
85,91,71,
84,91,72,
85,92,72,
84,92,70,
85,93,72,
84,94,72,
85,94,73,
84,93,73,
85,92,71,
84,92,70,
85,90,69,
84,89,69,
85,91,71,
84,91,71,
85,92,71,
84,91,70,
85,92,71,
84,93,72,
85,92,71,
84,91,71,
85,91,72,
84,91,71,
85,94,74,
84,93,72,
85,95,74,
84,94,74,
85,91,70,
85,90,69,
84,90,69,
85,90,68,
84,91,69,
85,91,71,
84,92,71,
85,92,71,
84,91,71,
85,92,72,
84,92,71,
85,93,71,
84,91,72,
85,94,72,
84,95,73,
85,93,72,
85,95,73,
84,92,72,
85,91,70,
84,90,69,
85,90,68,
84,89,68,
85,90,70,
84,91,70,
85,91,71,
84,91,72,
85,94,71,
84,92,70,
85,92,71,
84,92,71,
85,92,71,
84,91,70,
85,94,74,
84,93,74,
85,94,74,
84,94,75,
85,92,71,
85,91,70,
84,91,70,
85,89,68,
84,90,69,
85,92,70,
84,91,70,
85,91,71,
85,91,69,
84,91,70,
85,91,70,
84,92,71,
85,93,72,
84,92,70,
85,93,72,
84,93,72,
85,93,73,
84,94,73,
85,93,72,
85,91,70,
84,91,70,
85,90,69,
84,91,68,
84,92,71,
85,92,70,
85,90,70,
84,91,71,
85,92,73,
84,91,72,
85,92,72,
84,92,71,
85,92,71,
84,92,72,
85,94,74,
84,95,75,
85,94,75,
84,94,71,
85,90,70,
84,90,69,
85,90,68,
84,90,69,
85,92,71,
84,91,71,
85,91,71,
84,93,73,
85,92,72,
84,92,72,
85,92,69,
84,92,70,
85,92,71,
84,93,71,
85,95,73,
85,93,73,
84,94,74,
85,93,72,
84,91,70,
85,92,72,
84,89,67,
85,90,66,
84,90,69,
85,92,71,
84,93,73,
85,93,71,
84,92,71,
85,91,71,
85,92,71,
84,93,72,
85,93,72,
84,94,73,
85,94,74,
84,94,72,
85,94,74,
84,94,73,
85,93,71,
84,92,69,
85,90,70,
84,90,68,
85,91,70,
84,92,72,
85,92,72,
84,91,73,
85,92,70,
85,92,71,
84,92,70,
85,92,72,
84,92,72,
85,93,72,
84,94,73,
85,95,73,
84,95,74,
85,93,73,
84,92,70,
85,91,69,
84,90,68,
85,90,70,
84,90,70,
85,91,70,
85,91,69,
84,91,70,
85,93,71,
84,92,71,
85,91,71,
84,92,71,
85,92,69,
84,92,71,
85,95,74,
84,92,71,
85,95,74,
84,93,73,
85,91,72,
84,92,70,
85,91,69,
84,89,68,
85,91,70,
84,91,70,
85,92,70,
84,92,71,
85,92,70,
84,93,70,
85,92,71,
84,92,71,
85,93,73,
85,93,72,
84,95,77,
85,94,73,
84,95,75,
85,93,71,
84,91,71,
85,91,70,
84,90,71,
85,91,68,
84,91,71,
85,92,71,
85,92,71,
199,221,169,
2974,3335,2566,
7589,8515,6505,
10683,11989,9032,
12322,13832,10308,
13119,14735,10893,
13491,15155,11152,
13661,15349,11270,
13742,15440,11324,
14569,16368,12027,
17027,19113,14115,
19384,21755,16080,
20924,23489,17322,
21778,24461,17982,
22212,24949,18306,
22412,25180,18455,
22496,25274,18513,
22525,25307,18534,
22527,25308,18528,
22515,25296,18522,
22501,25277,18509,
22484,25255,18496,
22466,25234,18475,
22447,25211,18457,
22431,25196,18444,
22416,25181,18442,
22397,25158,18424,
22381,25146,18413,
22365,25126,18396,
22347,25103,18384,
22334,25085,18370,
22316,25069,18354,
22306,25056,18346,
22312,25069,18352,
22315,25064,18354,
22304,25050,18338,
22288,25030,18328,
22276,25019,18314,
22267,25007,18312,
22252,24994,18298,
22238,24974,18288,
22225,24957,18277,
22211,24939,18264,
22197,24927,18256,
22182,24912,18238,
22168,24903,18228,
22156,24890,18216,
22145,24875,18208,
22139,24863,18203,
22127,24852,18192,
22113,24833,18173,
22099,24819,18169,
22083,24803,18158,
22071,24788,18149,
22059,24774,18137,
22047,24760,18120,
22037,24749,18110,
22024,24734,18098,
22014,24721,18094,
22004,24709,18088,
21992,24696,18082,
21981,24682,18070,
21971,24675,18066,
21958,24664,18060,
21946,24649,18051,
21932,24632,18039,
21916,24608,18012,
21902,24589,18001,
21885,24571,17989,
21873,24560,17980,
21861,24549,17972,
21852,24533,17962,
21841,24526,17954,
21829,24512,17943,
21817,24496,17939,
21806,24483,17923,
21792,24464,17913,
21780,24453,17904,
21770,24439,17896,
21762,24434,17891,
21754,24428,17884,
21746,24416,17877,
21737,24408,17870,
21731,24404,17869,
21724,24389,17857,
21716,24376,17852,
21711,24370,17846,
21703,24368,17837,
21698,24362,17835,
21693,24354,17830,
21689,24350,17828,
21685,24344,17823,
