Beam50,Beam
4733380,1550019
4733380,1550015
4733196,1549962
4733284,1549967
4733344,1549979
4733304,1549974
4733348,1549936
4733508,1550023
4733596,1550059
4733632,1550059
4733656,1550071
4733704,1550100
4733776,1550091
4733852,1550094
4733952,1550133
4733924,1550124
4733888,1550111
4733948,1550129
4734232,1550210
4734348,1550276
4734300,1550289
4734392,1550308
4734504,1550294
4734624,1550297
4734704,1550350
4734696,1550381
4734800,1550403
4734960,1550402
4735056,1550470
4735208,1550493
4735320,1550488
4735412,1550527
4735464,1550559
4735568,1550629
4735732,1550669
4735836,1550641
4735864,1550692
4735908,1550731
4735868,1550739
4736032,1550728
4736032,1550739
4736044,1550770
4736132,1550812
4736328,1550875
4736448,1550903
4736492,1550928
4736524,1550884
4736620,1550889
4736712,1550916
4736856,1550960
4736980,1550947
4736912,1550901
4736832,1550877
4737040,1550951
4737296,1551022
4737396,1551086
4737412,1551119
4737508,1551168
4737588,1551225
4737704,1551228
4737784,1551218
4737868,1551241
4737952,1551264
4738052,1551237
4738044,1551220
4737912,1551217
4737872,1551243
4738052,1551278
4738096,1551281
4738168,1551290
4738332,1551294
4738368,1551306
4738404,1551350
4738432,1551370
4738512,1551398
4738548,1551407
4735504,1550508
4574828,1500930
3960050,1309416
3332546,1111564
2921102,980427.5
2691500,906548.5
2573364,868230.5
2515946,849448.5
2489370,840676.5
2474824,835910.5
2216686,755822.5
1574145,553964
1012111,375507.3
650489.5,259638.6
445025.5,193253.6
335869.8,157703.9
280233.5,139433.8
252627.8,130298.2
239207.1,125824.4
232802.1,123664.2
229713.3,122628.1
228278,122141.4
227611.8,121917.8
227279,121794.6
227108.4,121731.6
227018.9,121701.1
226974.9,121679.3
226950.8,121686.7
226933,121672.5
226919.8,121665
226924.1,121654.8
226909.9,121645.1
226897.3,121640.5
226887.8,121645.4
226859.4,121640
226857.8,121631
226827,121621.9
226826,121629.8
226831.5,121634.2
226813.5,121625.5
226819.9,121631.8
226823,121623.5
226802.3,121615.1
226785.1,121627.6
226783.5,121618.7
226798.5,121613.4
226795.4,121614.6
226790.3,121618.6
226796.8,121615.8
226772.9,121611.1
226761.4,121603.2
226753.9,121608.2
226748.4,121602.9
226741.6,121598.1
226740.3,121599.8
226758.3,121604.3
226749.1,121587.9
226738.1,121588.8
226726.6,121589.8
226740.5,121593
226747.4,121591.3
226737.9,121592.1
226749.1,121597.1
226734.8,121591.1
226695.3,121589.4
226687.8,121609.4
226682.6,121592.8
226699.6,121581.3
226704.1,121582.3
226688.1,121568.6
226689.1,121575.3
226677.9,121578.2
226677.3,121570.7
226656.1,121558.3
226678.9,121568.4
226690.1,121576.6
226696.3,121583.4
226673.1,121574.3
226664.6,121568.8
226669.8,121571.6
226660.1,121570.5
226654.4,121563.9
226652.8,121568.3
226676.1,121564.8
226656.1,121566.9
226656.8,121569.5
226668.4,121573.4
226656.8,121565.3
226634,121555
226640.4,121560.3
226634.3,121564.8
226625.8,121558.3
226628.5,121554
226632.9,121556.4
226627.9,121548.6
226619,121548.2
226613.1,121545.1
226622.4,121560.8
226596.5,121550.6
226609.4,121554.5
226620,121555.4
226631.3,121546.7
226609.4,121547.4
226618.6,121549.4
226621,121548.9
226620.4,121550.8
226613.5,121550.1
226613.1,121542.1
226603,121542.4
226600.6,121535.1
226610.8,121541.4
226611.8,121544.1
226594.8,121551.3
226581.1,121547.7
226596.5,121548.2
226606.4,121546.9
226592,121541.8
226589,121539.9
226578.8,121537.6
226594.5,121532
226595.5,121545.6
226582.1,121543.1
226589.6,121536.6
226564.5,121536.1
226565.1,121536.9
226570.9,121541.1
226570.3,121530.1
226574.6,121535.6
226567.9,121542.9
226576.8,121546.7
226567.1,121547.9
226578.4,121535.8
226569.3,121540.7
226569.6,121533.1
226559.8,121539.2
226556.6,121540.2
226559.8,121537.1
226560.4,121533.1
226559.4,121533.2
226559.4,121531.9
226558,121544.8
226548.8,121528.1
226564.1,121523.7
226554.9,121528.8
226559,121524.4
226554.9,121522.8
226574.4,121525.4
226555.3,121526.4
226534.9,121512.1
226548.5,121518.4
226541.3,121525.8
226537.3,121518.8
226526.4,121519.4
226560.4,121516.6
226532.5,121511.6
226540,121518.8
226542.4,121509.9
226554.3,121530
226536.3,121518.4
226534.1,121529.5
226543.4,121533.4
226528.4,121526.4
226529,121525.6
226553.3,121520.8
226530.8,121530.1
226527.4,121533.1
226536.5,121529.8
226545.4,121527.9
226531.4,121525.6
226530.4,121533.1
226506.3,121524.7
226541.6,121523.4
226518.9,121527.8
226532.1,121526.9
226534.5,121524.5
226516.4,121514.5
226509.3,121519.1
226499.4,121518.3
226497.8,121507
226496.6,121506.5
226517.8,121522
226528.8,121516.6
226495.6,121513.3
226493.6,121506.5
226507.3,121501.2
226511.6,121500.7
226504.5,121515
226523.6,121516.7
226510.4,121516.9
226502.5,121511.4
226505.3,121509.2
226494.3,121494.6
226504.9,121513.4
226494.3,121511.3
226514.8,121517.1
226511.4,121505.6
226496.6,121506.6
226489.3,121509.6
226502.5,121504.9
226512.4,121506.1
226499.4,121504.9
226498,121493.4
226499.1,121502.4
226481.4,121506.1
226469.5,121496.3
226475.9,121499.3
226480.4,121505.3
226457.9,121498.5
226472.5,121501.2
226509.3,121506
226495,121493.2
226495.4,121495.8
226482.4,121502.1
226470.1,121496.9
226472.5,121498.3
226492.3,121498.1
226497.4,121500.2
226510.4,121508.9
226474.3,121515.3
226470.1,121503.9
226471.5,121504.9
226463.3,121502.3
226470.5,121506.5
226479.6,121510.6
226475.9,121496.1
226471.1,121502.8
226474.9,121500.9
226482.4,121509.9
226488.9,121503.1
226479.6,121496.4
226480.4,121494.1
226489.3,121487.4
226455.9,121481.3
226457.1,121502.8
226467.8,121503.3
226481.4,121492.4
226448.4,121496.9
226475.3,121491
226471.1,121505.4
226473.3,121494.6
226470.8,121486.1
226486.1,121492.5
226460.3,121495.4
226447.6,121498.1
226464,121503.3
226459.6,121497.1
226456.9,121497.1
226467.4,121481.4
226457.1,121485.1
226464,121488.4
226460.6,121487.6
226481.8,121485.7
226468.4,121487.9
226461.6,121495.3
226451.4,121495.9
226436,121493
226468.4,121503.3
226462.3,121502.3
226467,121497.4
226448,121490.8
226431.6,121486.8
226418.4,121479.3
226415.3,121493.9
226420.4,121480.4
226436.8,121488.6
226444.9,121492.9
226438.1,121485.9
226446.3,121495.8
226437.8,121490.8
226437.8,121489.6
226426.5,121485.7
226435.8,121486.2
226438.1,121491.5
226457.9,121488.4
226445.6,121494.9
226436.8,121486.1
226447,121481.1
226419.8,121472.9
226421.1,121483.7
226438.5,121486.2
226452.4,121485.6
226424.9,121488.1
226422.8,121472.3
226445.6,121480.1
226430.6,121483.2
226449.4,121483
226444.9,121495.8
226446.6,121486.1
226427.5,121489.1
226411.9,121483.5
226414.3,121476.2
226401.4,121482.3
226425.9,121489.4
226428.9,121487.3
226415.6,121483.2
226416,121478.4
226415.3,121485.4
226414.3,121477.7
226418,121471.1
226414.6,121482.4
226422.1,121479.9
226433.4,121478.7
226434,121471.6
226428.3,121469
226423.1,121472.8
226416.3,121475
226413.9,121486.8
226425.5,121485.1
226427.9,121485.9
226421.8,121483.3
226437.8,121481.4
226434.8,121474.5
226411.3,121470.6
226403.8,121476.5
226409.1,121477.9
226422.8,121470.9
226412.3,121469.9
226392.1,121463.8
226384.6,121470.2
226378.9,121474.6
226395.5,121473.6
226406.4,121471.8
226404.4,121466.4
226393.9,121464.1
226380.9,121460
226405.4,121472.1
226380.3,121470.9
226399.6,121475.5
226396.9,121465.4
226389.1,121461.2
226387.8,121468
226389.8,121468.7
226385.6,121464.1
226388.8,121468
226391.8,121464.6
226390.8,121480.3
226377.1,121484.3
226380.3,121468.9
226364.9,121473.1
226394.1,121478.7
226376.5,121474.5
226379.9,121466.1
226391.8,121467
226381.3,121459.5
226381.9,121465.6
226353.6,121455.4
226352.3,121459.1
226356.8,121468.3
226353.6,121464.4
226381.6,121453.9
226393.5,121460
226371.8,121456.9
226355.6,121454.6
226380.9,121454
226376.5,121459.5
226355.4,121460.7
226376.8,121468
226366.6,121456.6
226371.8,121453.4
226359.4,121449.3
226371.8,121454
226364.3,121472.9
226363.1,121457.9
226371.8,121463.3
226368.6,121458.1
226352.6,121448.8
226364.5,121459.6
226340.6,121457.8
226359.8,121459.5
226356.8,121455.8
226336.3,121459
226358,121460.8
226342.8,121457.9
226335.3,121453.9
226343.1,121454
226332.1,121455.4
226334.9,121440.6
226335.9,121453.9
226334.9,121452.1
226347.1,121445
226339,121453.2
226341.8,121457.8
226357.4,121463.9
226359.8,121459.5
226345.1,121449.6
226362.9,121447.4
226356,121452.3
226342.4,121462.4
226336.6,121464.1
226317.9,121460.3
226340.6,121451.6
226343.1,121446
226340,121460.2
226338,121468.9
226324.4,121456.3
226330.9,121453.5
226334.6,121446.9
226336.3,121450.6
226342,121453.9
226342,121450.8
226333.9,121450.6
226321,121444.7
226310.4,121445.5
226288.3,121428.3
226277.4,121417.6
226283.1,121414.5
226251.5,121405.5
226189.8,121386.4
226128.5,121362.8
226104,121332.1
226015.8,121307.8
225945.9,121267.2
225820.9,121216.3
225650.3,121153.4
225465,121059.4
225225.9,120939.4
224915.3,120802.3
224599.5,120644.1
224211.3,120481.4
223768.9,120286.1
223280.8,120070.4
222728.6,119832.4
222121.4,119534.1
221488.9,119238.1
220818.9,118947.6
220118.6,118623.3
219426.3,118300.4
218724.9,117976.7
218048.5,117656.4
217379.3,117351.9
216758.3,117082.8
216231.1,116853.8
215789.6,116646.8
215407.5,116480.9
215134,116367.2
