Beam 50,Beam 52,ratio1
226953.4,121643.3,0.535983598395089
226967.8,121651.6,0.535986161913716
226973.9,121650.1,0.535965148415743
226960.6,121649.9,0.535995675020246
226945.6,121646.5,0.536016120162717
226974.5,121645.6,0.535943905592919
226956.1,121648.7,0.5360010151743
226958.9,121645.1,0.535978540608013
226947,121645.6,0.536008847880783
226935,121640,0.536012514596691
226923.8,121637.8,0.536029275025361
226927.9,121632.3,0.535995353590281
226935.8,121636.3,0.53599432086079
226921.8,121629.3,0.535996541539861
226918,121633.9,0.536025789051552
226929.6,121621.6,0.53594418709591
226925.5,121626.9,0.535977226005892
226936.4,121622.1,0.535930331141236
226914.3,121620.8,0.535976798289046
226928.6,121629.4,0.535980920871146
226933.6,121626.6,0.535956773258786
226918.4,121631.6,0.536014708370939
226921.1,121630.1,0.536001720421768
226928.6,121637.3,0.536015733583162
226929.3,121638.4,0.536018927480938
226911.9,121635.3,0.536046368656734
226910.5,121627.9,0.536017063996598
226916.6,121632.9,0.536024689247063
226934.4,121638.4,0.536006881283754
226908.1,121642.2,0.536085754541156
226928.9,121636.3,0.536010618303795
226929.9,121634.2,0.535999002335082
226933.4,121634.1,0.535990294949972
226924.5,121631.3,0.53599897763353
226933.4,121634.6,0.535992498239572
226943.9,121633.9,0.53596461504363
226897.3,121629.8,0.536056621211447
226920.4,121634.7,0.536023645295884
226917.4,121643.6,0.536069953207643
226902.6,121631.1,0.536049829310021
226898.6,121638.1,0.536090130128613
226918,121627.9,0.535999347782018
226891.8,121624.7,0.536047137886869
226913.3,121627.3,0.536007805624439
226919.8,121637.6,0.536037842444776
226916,121645.9,0.536083396499145
226899.3,121642.6,0.536108308840089
226881.5,121635.6,0.536119516135075
226875.1,121628.6,0.536103785739378
226888,121634.6,0.536099749656218
226885,121635.6,0.53611124578531
226898.6,121626.9,0.536040768872086
254530.3,130108.3,0.511170182881959
733344,279616.5,0.381289681241
1462050,509982.5,0.348813310078315
1969268,671959.5,0.34122298234674
2250542,762576.5,0.338841265792862
2390314,807978,0.338021699241188
2454736,829038.5,0.33773020805496
2482506,838177.5,0.337633625054683
2499876,843768.5,0.337524141197403
2722242,912570,0.335227360388973
3264608,1081707,0.331343610013821
3799500,1250207,0.329045137518094
4181604,1371812,0.328058802316049
4417612,1447626,0.327694238425647
4552380,1491241,0.327573928362746
4625868,1515194,0.327548040713656
4664920,1527992,0.327549454224295
4685420,1534769,0.327562737171908
4696088,1538314,0.32757350373332
4701732,1540157,0.327572264858992
4704772,1541221,0.327586756595219
4706596,1541819,0.32758685895284
4707684,1542181,0.327588045416812
4708480,1542422,0.327583848715509
4709160,1542608,0.327576043285851
4709880,1542788,0.3275641842255
4710572,1543011,0.327563404189555
4711200,1543263,0.327573229750382
4711716,1543426,0.327571950431647
4712052,1543544,0.327573634586375
4712448,1543634,0.327565206024554
4712876,1543708,0.327551159843798
4713248,1543838,0.327552889217796
4713656,1543958,0.32754999516299
4714024,1544095,0.327553487211775
4714240,1544183,0.327557146008689
4714412,1544194,0.327547528726806
4714560,1544266,0.327552518156519
4714892,1544365,0.327550450784451
4715092,1544432,0.327550766771889
4715308,1544544,0.327559514670091
4715548,1544630,0.327561080917849
4715824,1544667,0.327549755885716
4715936,1544693,0.327547490042274
4716048,1544741,0.327549889229287
4716084,1544725,0.327543996247734
4716328,1544789,0.327540620584489
4716576,1544883,0.327543328041359
4716632,1544955,0.327554704288993
4716712,1545019,0.327562717418405
4716888,1545059,0.327558975324409
4717028,1545072,0.327552009443234
4717092,1545114,0.32755646911275
4717228,1545142,0.327552961188223
4717400,1545174,0.327547801755204
4717448,1545209,0.327551888224311
4717596,1545258,0.327551998941834
4717800,1545338,0.327554792488024
4717968,1545416,0.327559661277906
4718012,1545413,0.327555970607959
4718112,1545380,0.327542033762658
4718104,1545383,0.327543224990377
4718344,1545498,0.32755093736277
4718416,1545568,0.327560774632843
4718532,1545602,0.327559927536785
4718572,1545589,0.327554395694291
4718752,1545691,0.327563516794271
4718908,1545708,0.327556290565529
4719092,1545737,0.327549664215065
4719212,1545748,0.327543666188338
4719300,1545823,0.327553450723624
4719544,1545939,0.327561094885438
4719776,1546006,0.327559189249659
4719964,1546036,0.327552498281767
4720028,1546057,0.327552506044456
4720072,1546060,0.327550088218993
4720176,1546118,0.327555158960174
4720224,1546160,0.327560725931651
4720280,1546125,0.327549425034108
4720228,1546089,0.32754540670493
4720248,1546110,0.32754846779237
4720364,1546172,0.327553553073449
4720520,1546219,0.3275526848737
4720616,1546227,0.327547718348622
4720664,1546258,0.327550954696204
4720812,1546314,0.327552548163324
4720948,1546380,0.327557092346707
4721200,1546430,0.327550199101923
4721284,1546448,0.327548183926237
4721276,1546467,0.327552763278402
4721344,1546473,0.32754931646582
4721548,1546522,0.32754554226707
4721624,1546550,0.327546200205692
4721664,1546572,0.327548084743006
4721848,1546622,0.327545909991173
4721840,1546606,0.327543076427833
4721984,1546646,0.327541558802402
4722072,1546701,0.327547102204287
4722292,1546778,0.327548148229716
4722396,1546829,0.327551734331471
4722436,1546864,0.32755637133039
4722500,1546832,0.327545156167284
4722700,1546849,0.327534884705783
4722900,1546894,0.327530542675051
4722960,1546929,0.327533792367498
4723004,1546948,0.327534763891794
4723012,1546927,0.327529762786967
4723016,1546933,0.327530755771312
4723216,1547042,0.327539964295514
4723392,1547118,0.327543849843502
4723660,1547164,0.327535004636235
4723792,1547193,0.327531991247709
4723868,1547213,0.327530955564381
4723836,1547213,0.327533174310031
4723888,1547211,0.327529145483551
4723924,1547208,0.327526014389732
4723960,1547248,0.327531985876256
4723992,1547267,0.327533789218949
4724200,1547359,0.327538842555353
4724324,1547376,0.327533843995458
4724444,1547380,0.327526371357137
4724584,1547417,0.327524497394903
4724748,1547463,0.327522864711515
4724848,1547491,0.327521858904244
4724892,1547555,0.327532354178678
4725084,1547606,0.327529838622975
4725328,1547632,0.327518428350371
4725340,1547641,0.327519501242239
4725356,1547591,0.327507811051696
4725556,1547632,0.327502626146003
4725552,1547686,0.327514330600954
4725704,1547738,0.327514799911294
4725644,1547734,0.327518111817141
4725660,1547759,0.327522293182328
4725780,1547810,0.327524768398021
4725844,1547840,0.327526680948419
4725968,1547854,0.327521049655859
4726040,1547881,0.327521772985417
4726084,1547916,0.327526129455168
4726128,1547918,0.327523503383742
4726160,1547945,0.327526998662762
4726200,1547928,0.327520629681351
4726432,1548007,0.32752126762852
4726740,1548102,0.327520024371977
4726896,1548158,0.327521062447746
4726960,1548146,0.327514089393606
4727148,1548161,0.327504237227182
4727312,1548200,0.327501125375266
4727348,1548239,0.327506881236583
4727476,1548292,0.327509224795641
4727632,1548357,0.327512166767633
4727772,1548358,0.327502679909268
4727796,1548374,0.327504401628158
4727936,1548412,0.327502741153857
4728216,1548524,0.327507034365604
4728384,1548573,0.327505760953425
4728496,1548575,0.327498426561004
4728644,1548618,0.327497269830421
4728668,1548638,0.327499837163446
4728756,1548636,0.327493319596105
4728796,1548655,0.327494567327497
4728832,1548653,0.327491651215353
4728968,1548677,0.32748730801308
4728864,1548652,0.327489223627493
4728896,1548685,0.327493985911299
4728948,1548707,0.327495036951136
4729132,1548749,0.327491175970559
4729192,1548775,0.327492518806595
4729064,1548729,0.327491655854097
4729172,1548741,0.327486714376216
4729256,1548764,0.327485760973819
4729444,1548824,0.327485429576923
4729636,1548876,0.327483129779966
4729832,1548971,0.327489644452488
4729936,1549007,0.327490054833723
4730024,1548995,0.327481425041395
4730076,1549032,0.327485647165077
4730268,1549042,0.327474468677039
4730516,1549125,0.327474846295837
4730536,1549140,0.32747663266911
4730500,1549167,0.327484832470141
4730636,1549202,0.327482816264029
4730632,1549209,0.327484572885822
4730700,1549217,0.327481556640666
4730692,1549228,0.327484435680869
4730708,1549236,0.327485019155695
4730872,1549252,0.327477048628667
4731036,1549281,0.327471826466761
4731172,1549340,0.32747488360178
4731352,1549361,0.327466863594169
4731312,1549363,0.327470054817776
4731368,1549358,0.327465122138037
4731476,1549403,0.327467158239839
4731612,1549458,0.327469369846894
4731828,1549521,0.327467735513632
4731912,1549550,0.327468050969671
4732004,1549537,0.327458937059225
4732108,1549613,0.327467800819423
4732268,1549646,0.327463702393863
4732340,1549650,0.327459565458103
4732416,1549700,0.327464872065347
4732380,1549729,0.327473491139765
4732456,1549747,0.327472035661821
4732564,1549787,0.327473014628011
4732696,1549792,0.327464937532434
4732732,1549802,0.327464559582076
4732728,1549798,0.327463991169575
4732820,1549777,0.327453188585241
4732928,1549813,0.327453322763414
4732988,1549852,0.327457411681585
4733104,1549895,0.327458471227338
4733240,1549958,0.327462372497486
4733284,1549988,0.327465666543567
4733380,1550019,0.32746557428307
4733380,1550015,0.327464729220979
4733196,1549962,0.32746626169717
4733284,1549967,0.327461229877607
4733344,1549979,0.327459614175517
4733304,1549974,0.327461325112437
4733348,1549936,0.327450252971047
4733508,1550023,0.327457564241996
4733596,1550059,0.327459081848134
4733632,1550059,0.327456591471411
4733656,1550071,0.327457466279763
4733704,1550100,0.327460272125169
4733776,1550091,0.327453390274487
4733852,1550094,0.327448766881601
