08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
5.73983e+03,1.13385e+01,1.51667e+00,
5.94293e+03,1.17570e+01,1.55607e+00,
6.16113e+03,1.21758e+01,1.61770e+00,
6.37967e+03,1.26278e+01,1.66783e+00,
6.60300e+03,1.30718e+01,1.71149e+00,
6.82721e+03,1.34977e+01,1.79608e+00,
7.05610e+03,1.39615e+01,1.86139e+00,
7.26614e+03,1.43661e+01,1.93490e+00,
7.47425e+03,1.47886e+01,1.96534e+00,
7.67138e+03,1.51626e+01,2.03584e+00,
7.88270e+03,1.55927e+01,2.06903e+00,
8.05988e+03,1.59458e+01,2.12833e+00,
8.24896e+03,1.63154e+01,2.17036e+00,
8.44924e+03,1.67390e+01,2.22081e+00,
8.61799e+03,1.70396e+01,2.27829e+00,
8.81639e+03,1.74335e+01,2.33964e+00,
8.99074e+03,1.77790e+01,2.38013e+00,
9.14587e+03,1.80817e+01,2.42792e+00,
9.31900e+03,1.84228e+01,2.45907e+00,
9.46235e+03,1.86949e+01,2.52151e+00,
9.64052e+03,1.90646e+01,2.55793e+00,
9.76681e+03,1.93133e+01,2.58142e+00,
9.89655e+03,1.95668e+01,2.63188e+00,
1.00205e+04,1.98131e+01,2.68324e+00,
1.01694e+04,2.00902e+01,2.70623e+00,
1.02925e+04,2.03464e+01,2.72463e+00,
1.03883e+04,2.05036e+01,2.76513e+00,
1.04957e+04,2.07260e+01,2.80149e+00,
1.06219e+04,2.09709e+01,2.83156e+00,
1.07345e+04,2.11870e+01,2.84990e+00,
1.08078e+04,2.13646e+01,2.88053e+00,
1.08969e+04,2.15238e+01,2.90457e+00,
1.09836e+04,2.16722e+01,2.93813e+00,
1.10796e+04,2.18728e+01,2.94644e+00,
1.11268e+04,2.19508e+01,2.96124e+00,
1.12076e+04,2.21324e+01,2.99780e+00,
1.12915e+04,2.22802e+01,3.00621e+00,
1.13213e+04,2.23021e+01,3.03095e+00,
