368.69,5.69,5.99
412.37,5.81,6.86
370.90,6.48,6.58
399.90,7.08,6.46
380.01,7.36,5.81
477.43,6.87,6.31
486.33,6.21,6.25
359.92,6.76,5.82
359.43,6.27,5.53
470.93,6.23,5.93
422.10,6.34,5.82
454.00,6.33,5.84
433.70,5.82,6.32
434.39,5.95,5.06
355.42,6.28,5.64
367.46,6.25,5.91
348.38,7.11,5.59
376.57,6.53,6.74
484.28,5.70,4.53
391.21,6.82,6.08
388.62,5.72,7.30
479.08,7.25,6.61
375.38,6.62,6.08
461.63,6.33,6.68
464.85,6.40,6.35
437.83,6.35,6.84
435.62,6.37,5.82
383.73,6.52,6.24
341.64,5.99,4.23
355.44,6.41,5.33
406.31,6.37,6.76
381.91,6.56,6.48
420.54,6.08,5.55
397.34,6.42,6.84
425.09,6.05,6.08
413.80,5.99,5.46
338.31,6.13,5.71
395.38,6.17,7.56
483.67,6.32,5.93
419.39,6.42,7.18
387.18,6.44,6.05
387.79,6.80,5.68
410.05,6.73,6.00
421.51,6.51,5.20
392.06,6.58,7.70
359.84,6.48,5.65
491.86,5.75,5.85
319.79,6.66,6.76
418.12,6.47,6.58
358.04,6.26,5.48
442.05,6.31,6.69
348.68,5.71,5.97
352.78,5.99,7.37
397.34,5.74,5.62
444.65,6.90,5.27
388.60,6.43,5.71
413.94,6.34,6.69
437.93,6.50,6.15
447.48,6.38,5.86
408.78,6.04,5.40
363.19,6.37,6.65
1213.37,14.59,17.79
29727.60,340.46,138.37
93729.50,1057.64,399.96
149713.00,1681.06,624.15
158941.00,1777.45,658.57
102461.00,1139.14,426.12
44229.80,489.31,190.66
13213.90,148.35,68.11
4565.85,49.96,38.63
2008.05,23.32,24.22
1249.13,14.62,14.61
967.34,11.52,13.58
881.10,10.37,11.04
739.26,10.03,9.99
728.22,8.10,8.72
701.99,9.42,9.61
541.78,8.77,8.27
664.07,8.00,9.11
614.67,8.85,7.60
529.72,8.34,7.09
525.47,7.98,6.81
