484.34,7.16,7.65
455.88,7.03,9.20
458.32,7.52,7.50
521.39,7.22,6.65
435.83,7.37,8.42
427.48,7.27,8.02
452.39,7.47,8.61
501.51,7.24,7.79
498.20,7.56,7.77
468.99,7.78,7.66
485.64,7.50,8.46
443.54,6.39,8.55
506.83,7.94,8.12
401.56,7.39,6.34
420.06,6.86,8.57
448.07,7.79,7.97
466.61,7.07,7.69
486.26,7.32,8.28
477.85,7.28,7.33
277.35,7.10,7.86
390.34,7.61,6.92
464.14,7.24,8.21
507.01,6.30,7.23
430.11,7.63,7.11
412.29,6.92,8.21
415.30,7.69,7.46
453.98,7.25,5.92
463.63,7.18,7.23
429.95,7.52,7.29
458.17,7.34,6.94
467.26,6.55,7.74
409.70,7.16,8.00
532.01,6.70,7.15
451.07,6.88,6.27
439.72,7.16,6.69
453.71,6.81,6.34
516.31,7.26,6.75
440.30,6.02,7.72
382.74,6.26,6.36
523.76,6.90,7.15
499.13,7.17,7.39
458.67,6.87,7.42
516.45,6.77,7.77
486.26,6.47,6.52
382.61,6.81,8.18
491.75,6.82,8.57
457.89,7.15,7.04
460.92,6.43,5.47
430.13,6.90,7.25
447.32,6.89,7.64
379.95,7.06,7.38
465.96,6.89,7.07
392.36,6.42,7.28
409.05,6.86,6.83
370.61,6.73,6.53
424.70,6.76,6.87
487.64,6.27,7.34
432.00,6.52,5.96
370.16,6.58,6.32
370.46,6.29,7.74
394.87,6.58,7.22
425.39,7.03,7.87
485.13,5.45,7.05
448.31,7.16,6.84
454.89,7.38,6.57
359.83,6.72,6.29
450.79,7.08,7.01
533.85,6.61,7.43
407.56,7.20,6.57
438.95,6.97,7.34
480.30,6.51,6.48
478.49,7.44,8.21
370.07,7.54,6.67
401.26,7.16,6.88
336.42,6.65,6.08
446.28,6.58,7.47
414.88,6.22,8.11
370.94,6.32,7.56
405.67,6.45,6.55
484.53,6.85,7.45
419.16,6.33,8.10
423.88,6.53,7.52
426.59,7.03,6.44
407.63,6.82,6.77
371.80,6.93,8.25
350.27,6.17,6.35
357.56,6.63,7.98
455.51,6.94,8.46
450.05,6.20,6.06
413.12,6.17,5.94
394.71,7.16,8.03
445.31,6.47,7.38
475.48,6.47,7.65
407.94,6.94,6.09
355.94,6.63,8.71
398.78,6.27,6.39
488.86,7.40,6.02
387.02,7.36,6.33
432.86,6.20,7.10
429.82,6.57,5.72
394.86,6.71,6.62
396.32,6.34,5.94
422.87,6.01,6.16
442.14,6.93,7.09
376.12,6.75,6.94
361.76,6.49,4.87
382.48,6.84,7.13
394.82,6.23,7.00
368.18,6.75,4.75
410.90,6.26,6.69
421.10,6.53,6.78
400.26,6.49,6.86
451.95,6.43,6.92
376.95,6.29,7.28
398.73,6.90,6.73
485.77,5.99,7.82
392.87,6.80,6.13
398.49,6.54,5.91
416.82,5.96,6.51
479.64,6.11,7.38
391.55,6.83,7.55
396.81,7.33,6.40
394.51,6.23,6.97
438.22,6.74,5.91
359.56,6.76,7.44
383.08,7.09,6.93
537.07,6.40,6.81
431.55,6.16,5.93
414.45,6.38,6.84
397.82,6.72,7.04
485.44,6.75,7.00
470.60,5.88,6.23
358.56,7.14,6.38
382.86,6.22,6.53
401.08,5.99,6.06
372.23,6.92,6.19
447.24,6.48,7.67
422.94,5.91,6.45
403.46,6.80,7.89
440.60,7.83,6.84
442.63,6.64,7.02
392.94,6.39,7.43
411.63,6.69,8.03
405.07,7.13,7.32
385.59,6.45,5.88
402.93,6.38,5.33
470.34,6.50,7.65
412.10,7.06,5.93
536.81,7.31,8.39
1779.96,22.18,22.94
14090.30,174.04,96.02
57307.30,699.73,315.90
112588.00,1370.17,573.79
142271.00,1728.37,711.36
150477.00,1826.16,752.87
153290.00,1858.66,762.97
154157.00,1867.08,765.38
153463.00,1854.66,762.82
149222.00,1801.82,741.39
139692.00,1685.04,696.03
124957.00,1502.72,624.80
105556.00,1266.27,533.62
84103.50,1006.54,432.80
64719.50,773.09,342.03
47252.80,564.12,259.76
33960.40,405.91,194.77
24184.60,289.32,147.15
16849.60,202.40,109.04
11966.30,143.53,85.02
8560.85,102.34,65.95
6241.22,75.76,53.36
4751.72,57.23,45.60
3778.52,45.03,40.45
3004.73,37.09,36.72
2448.52,31.47,33.62
2226.13,27.85,30.07
1994.06,24.57,27.84
1807.06,22.41,25.54
1698.98,20.55,24.48
1597.79,20.20,21.69
1514.03,17.92,21.24
1394.08,18.87,19.40
1353.83,16.82,18.43
1260.64,16.38,18.42
1243.68,15.75,17.87
1139.71,14.58,18.41
1228.17,14.78,16.81
1083.80,14.97,17.01
1093.97,13.41,15.68
1113.70,13.42,15.38
981.64,13.20,14.74
1020.71,13.96,15.42
869.58,12.13,14.21
957.36,12.05,14.17
953.92,12.16,14.32
909.06,11.49,13.00
843.46,11.60,13.07
893.70,10.90,12.94
794.12,11.36,12.41
800.99,11.26,12.77
742.61,11.18,12.24
869.44,10.43,13.02
789.48,11.30,13.09
829.46,11.01,13.60
714.28,10.15,11.44
811.59,10.39,11.16
769.23,10.03,11.02
814.80,10.41,11.23
786.46,10.95,8.74
774.04,10.14,10.94
756.13,9.98,10.94
717.07,9.73,11.29
698.99,9.48,10.86
749.57,10.07,12.26
604.06,9.88,10.79
710.73,9.75,11.78
652.45,10.07,11.55
729.74,9.91,10.71
694.71,9.61,9.71
658.97,9.70,10.09
616.07,9.03,10.78
651.04,9.41,10.76
660.70,9.74,10.97
645.80,9.56,10.81
678.76,10.15,9.55
650.82,9.53,9.07
660.72,8.51,9.03
610.18,8.66,9.73
669.46,8.87,9.97
611.27,9.55,9.83
584.19,8.62,9.43
565.05,8.58,9.91
652.40,8.50,8.74
606.43,8.77,8.61
644.09,8.65,10.78
585.28,9.09,9.88
584.83,8.49,8.50
582.22,9.06,9.27
632.25,9.05,8.63
593.36,9.16,10.01
674.71,8.74,9.82
630.91,8.46,8.72
568.57,8.47,8.54
569.80,8.38,10.26
561.99,7.81,9.05
591.16,8.47,8.88
491.77,8.05,9.83
546.05,7.78,9.85
535.47,8.74,10.44
498.90,8.14,8.74
551.51,8.11,7.90
546.98,8.21,9.65
544.86,8.38,8.79
574.57,8.12,9.71
551.34,8.10,9.01
529.28,8.32,7.82
551.40,8.06,8.20
588.50,8.32,8.52
525.47,7.41,8.51
